OBJECTID,AGENCY,ST_NAME,S_TYPE,BUREAU,APREC,ABBREV_APREC,PREC,REPDIST,NAME,CommOrg,BASICCAR,p1_db_DBO_POLICE_AREA,PERIMETER,SHAPE_LENG,Shape_Length,Shape_Area,Shape__Area,Shape__Length,Area_in_sqm
1,OT,ROLLING HILLS,Sheriff,,,,0,0,9RH,,,85096190,48250.18,0.1455492,0.1455492,0.0007692388,11465870.3085938,17712.6080136292,7904613
2,OT,L.A. COUNTY,Sheriff,,,,0,0,9LAC,,,14709890,18351.6,0.05533392,2.103775,0.009044012,135110206.847656,258233.080514693,92729475
3,OT,ROLLING HILLS ESTATES,Sheriff,,,,0,0,9RHE,,,100312500,116144.5,0.3524942,0.3524942,0.0009069855,13521968.4765625,42638.2012895719,9318115
4,OT,PALOS VERDES ESTATES,Sheriff,,,,0,0,9PVE,,,133331500,70950.24,0.2196886,0.2196886,0.001205663,17976705.625,26035.8711759,12385376
5,OT,HERMOSA BEACH,Sheriff,,,,0,0,9HMB,,,41007140,28836.17,0.0856851,0.0856851,0.0003711612,5539158.2265625,10603.1104538807,3809399
6,OT,REDONDO BEACH,Sheriff,,,,0,0,9RED,,,173772900,110826.7,0.3288409,0.3288409,0.001572687,23468396.8867188,40746.3791516486,16142692
7,OT,MANHATTAN BEACH,Sheriff,,,,0,0,9MB,,,109871500,47722.54,0.1441396,0.1441396,0.000994749,14849693.0117188,17545.070857854,10206739
8,OT,CUDAHY,Sheriff,,,,0,0,9CUD,,,33837180,33463.36,0.1027166,0.1027166,0.0003066247,4581282.7890625,12308.7042522847,3143486
9,OT,DOWNEY,Sheriff,,,,0,0,9DWN,,,266595000,77321.95,0.2296103,0.2296103,0.002415059,36072341.4570312,28455.5935341968,24766434
10,OT,BELL GARDENS,Sheriff,,,,0,0,9BG,,,70238900,39579.26,0.1217945,0.1217945,0.0006365179,9510550.62109375,14558.0503473323,6525274
11,OT,PICO RIVERA,Sheriff,,,,0,0,9PR,,,2660864,9538.478,0.02752413,0.02752413,2.411528e-05,360352.43359375,3514.44583560933,247197
12,OT,MAYWOOD,Sheriff,,,,0,0,9MWD,,,32778890,30142.96,0.09410254,0.09410254,0.0002971262,4440694.12890625,11085.7309240432,3045215
13,OT,BELL,Sheriff,,,,0,0,9BEL,,,72820730,65881.6,0.2022396,0.2022396,0.0006600199,9863343.09765625,24238.0556950042,6765129
14,OT,MONTEBELLO,Sheriff,,,,0,0,9MTB,,,93800380,62013.54,0.18303,0.18303,0.0008504742,12713931.7851562,22844.9743042502,8714280
15,OT,LASD LOST HILLS (MALIBU),Sheriff,,,,0,0,9LHM,,,135731900,103656.3,0.3302848,1.143195,0.02197125,328939775.9375,138315.275344992,224798731
16,OT,SAN GABRIEL,Sheriff,,,,0,0,9SNG,,,954141.9,5235.487,0.01521659,0.01521659,8.66124e-06,129628.50390625,1931.77074345669,88646
17,OT,SAN MARINO,Sheriff,,,,0,0,9SNM,,,40942810,35497.65,0.1057223,0.1057223,0.000371705,5563819.8984375,13091.496971458,3803844
18,OT,LA CANADA FLINTRIDGE,Sheriff,,,,0,0,9LAC,,,240510500,91263.02,0.27573,0.27573,0.002185908,32754941.1367188,33683.0715776464,22345738
19,OT,LASD SANTA CLARITA,Sheriff,,,,0,0,9SC,,,10627570,18807.89,0.05781662,0.6020229,0.009955491,149437001.851562,70801.7357275759,101598770
20,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1901,1901,non-UA,19A1,43699210,32160.92,0.09909944,0.09986535,0.0003977163,5967865.7734375,11878.5846844294,4060194
21,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1705,1705,UR,17A35,109968300,48878.34,0.1488317,0.1488177,0.001000543,15011150,18058.8362720946,10215885
22,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1902,1902,non-UA,19A7,33526640,26758.88,0.08205431,0.08167053,0.000305111,4577939.33203125,9886.99178850669,3115041
23,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1903,1903,non-UA,19A7,10947380,14601.7,0.04568461,0.04602766,9.96359e-05,1495087.7890625,5390.79398947758,1017147
24,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1904,1904,non-UA,19A7,17225160,20002.51,0.0617542,0.061794,0.0001567657,2352256.11328125,7388.62269405744,1600428
25,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1906,1906,non-UA,19A7,15020050,18709.85,0.05713132,0.05727014,0.0001366969,2051118.28515625,6912.82795788061,1395549
