Class,Criminal Code,Description
Homicide,110,HOMICIDE-CRIMINAL/MURDER
Homicide,113,"MANSLAUGHTER, NEGLIGENCE"
Rape,121,"RAPE, FORCIBLE (any age, nonconsensual sexual intercourse)"
Rape,122,"RAPE, ATTEMPTED"
Rape,815,SEXUAL PENETRATION W/FOREIGN OBJECT
Rape,820,"ORAL COPULATION (copulating mouth of one person with sex organ or anus of another)"
Rape,821,SODOMY (sexual contact between penis of one person to the anus of another)
Robbery,210,ROBBERY (taking property of another by means of force or fear)
Robbery,220,ROBBERY - ATTEMPTED
Aggravated Assault,230,"AGGRAVATED ASSAULT (including poisoning, maiming, mayhem, assault with explosives, and assault with disease)"
Aggravated Assault,231,ADW AGAINST POLICE OFFICER
Aggravated Assault,235,CHILD ABUSE (Physical) - Aggravated Assault
Aggravated Assault,236,INTIMATE PARTNER - Aggravated Assault
Aggravated Assault,250,"SHOTS FIRED (Discharge of firearms) at MOVING VEHICLE, TRAIN or AIRCRAFT"
Aggravated Assault,251,SHOTS FIRED INHABITED DWELLING
Aggravated Assault,761,"BRANDISHING WEAPON, EXHIBITING DEADLY WEAPON"
Aggravated Assault,926,TRAIN WRECKING
Burglary,310,BURGLARY (entry of structure w/intent to commit theft or a felony) Includes vessels
Burglary,320,BURGLARY - ATTEMPTED
Motor Vehicle Theft,510,"VEHICLE, STOLEN"
Motor Vehicle Theft,520,"VEHICLE, ATTEMPTED STOLEN"
Motor Vehicle Theft,522,"VEHICLE, STOLEN - OTHER (Motorized: Scooter, Wheelchair, or Bicycle)"
Motor Vehicle Theft,433,DRIVING WITHOUT OWNER CONSENT (DWOC)
Burglary/Theft from Vehicle,330,BURGLARY FROM VEHICLE
Burglary/Theft from Vehicle,331,THEFT FROM VEHICLE - GRAND ($950.01 & OVER)
Burglary/Theft from Vehicle,410,BURGLARY FROM VEHICLE - ATTEMPTED
Burglary/Theft from Vehicle,420,THEFT FROM VEHICLE - PETTY ($950 & under)
Burglary/Theft from Vehicle,421,THEFT FROM VEHICLE - ATTEMPTED
Theft From Person,350,THEFT FROM PERSON
Theft From Person,351,PURSESNATCH (form of grand theft person)
Theft From Person,352,PICKPOCKET - PICKPURSE (form of grand theft person)
Theft From Person,353,DRUNKROLL (form of grand theft person)
Theft From Person,450,THEFT FROM PERSON - ATTEMPTED
Theft From Person,451,PURSESNATCH-ATTEMPTED (form of grand theft person)
Theft From Person,452,PICKPOCKET - ATTEMPTED (form of grand theft person)
Theft From Person,453,DRUNKROLL - ATTEMPTED (form of Grand theft person)
Other Theft,341,"THEFT-GRAND (plain theft-grand) $950.01 & OVER (or $100 if fowl, livestock, produce, etc.)"
Other Theft,343,SHOPLIFTING - GRAND THEFT ($950.01 & OVER)
Other Theft,345,DISHONEST EMPLOYEE - GRAND THEFT
Other Theft,440,THEFT-PETTY (plain theft-petty) $950 & under
Other Theft,441,THEFT - ATTEMPTED (plain theft-attempted)
Other Theft,442,SHOPLIFTING-PETTY THEFT ($950 & under)
Other Theft,443,SHOPLIFTING-ATTEMPTED
